EschmeyerName,OBISChecklist,FBName,GBIFnames,GBIF Synonym,SplitFrom,SplitYear,Group,Notes,fbATLPresent,OBIS_atlPresent,fbOBagree,isAtlantic
Cubiceps nanus,NA,Cubiceps nanus,"Cubiceps nanus Agafonova, 1988",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Cubiceps paradoxus,Cubiceps paradoxus,Cubiceps paradoxus,Cubiceps paradoxus,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Cubiceps pauciradiatus,Cubiceps pauciradiatus,Cubiceps pauciradiatus,Cubiceps pauciradiatus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Cubiceps whiteleggii,Cubiceps natalensis,Cubiceps whiteleggii,Cubiceps whiteleggii,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Cubiceps whiteleggii,Cubiceps whiteleggii,Cubiceps whiteleggii,Cubiceps whiteleggii,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Cybiosarda elegans,Cybiosarda elegans,Cybiosarda elegans,Cybiosarda elegans,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Demissolinea novaeguineensis,NA,Demissolinea novaeguineensis,"Demissolinea novaeguineensis Burhanuddin & Iwatsuki, 2003",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Demissolinea novaeguineensis,Diplospinus multistriatus,Diplospinus multistriatus,"Demissolinea novaeguineensis Burhanuddin & Iwatsuki, 2003",NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Dysalotus alcocki,Dysalotus alcocki,Dysalotus alcocki,Dysalotus alcocki,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Dysalotus oligoscolus,Dysalotus oligoscolus,Dysalotus oligoscolus,Dysalotus oligoscolus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Epinnula magistralis,Epinnula magistralis,Epinnula magistralis,Epinnula magistralis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Eumegistus brevorti,Eumegistus brevorti,Eumegistus brevorti,Eumegistus brevorti,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Eumegistus illustris,Eumegistus illustris,Eumegistus illustris,Eumegistus illustris,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Eupleurogrammus glossodon,Eupleurogrammus glossodon,Eupleurogrammus glossodon,"Eupleurogrammus glossodon (Bleeker, 1860)",NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Eupleurogrammus muticus,Eupleurogrammus muticus,Eupleurogrammus muticus,Eupleurogrammus muticus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Euthynnus affinis,Euthynnus affinis,Euthynnus affinis,Euthynnus affinis,NA,NA,NA,S,,TRUE,FALSE,FALSE,FALSE
Euthynnus alletteratus,Euthynnus alletteratus,Euthynnus alletteratus,Euthynnus alletteratus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Euthynnus lineatus,Euthynnus lineatus,Euthynnus lineatus,Euthynnus lineatus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Euthynnus lineatus,NA,Evoxymetopon macrophthalmus,Euthynnus lineatus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Evoxymetopon moricheni,NA,Evoxymetopon moricheni,"Evoxymetopon moricheni Fricke, Golani & Appelbaum-Golani, 2014",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Evoxymetopon poeyi,Evoxymetopon poeyi,Evoxymetopon poeyi,Evoxymetopon poeyi,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Evoxymetopon taeniatus,Evoxymetopon taeniatus,Evoxymetopon taeniatus,Evoxymetopon taeniatus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Gasterochisma melampus,Gasterochisma melampus,Gasterochisma melampus,Gasterochisma melampus,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Gempylus serpens,Gempylus serpens,Gempylus serpens,Gempylus serpens,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Grammatorcynus bicarinatus,Grammatorcynus bicarinatus,Grammatorcynus bicarinatus,Grammatorcynus bicarinatus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Grammatorcynus bilineatus,Grammatorcynus bilineatus,Grammatorcynus bilineatus,Grammatorcynus bilineatus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Gymnosarda unicolor,Gymnosarda unicolor,Gymnosarda unicolor,Gymnosarda unicolor,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Hyperoglyphe antarctica,Hyperoglyphe antarctica,Hyperoglyphe antarctica,Hyperoglyphe antarctica,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Hyperoglyphe bythites,Hyperoglyphe bythites,Hyperoglyphe bythites,Hyperoglyphe bythites,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Hyperoglyphe japonica,Hyperoglyphe japonica,Hyperoglyphe japonica,Hyperoglyphe japonica,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Hyperoglyphe macrophthalma,Hyperoglyphe macrophthalma,Hyperoglyphe macrophthalma,"Hyperoglyphe macrophthalma (Miranda Ribeiro, 1915)",NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Hyperoglyphe perciformis,Hyperoglyphe perciformis,Hyperoglyphe perciformis,Hyperoglyphe perciformis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Hyperoglyphe pringlei,Hyperoglyphe pringlei,Hyperoglyphe pringlei,Hyperoglyphe pringlei,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Pseudoicichthys australis,Icichthys australis,Icichthys australis,Pseudoicichthys australis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Icichthys lockingtoni,Icichthys lockingtoni,Icichthys lockingtoni,Icichthys lockingtoni,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Icosteus aenigmaticus,Icosteus aenigmaticus,Icosteus aenigmaticus,Icosteus aenigmaticus,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Kali colubrina,Kali colubrina,Kali colubrina,Kali colubrina,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Kali falx,NA,Kali falx,Kali falx,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Kali indica,Kali indica,Kali indica,Kali indica,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Kali kerberti,Kali kerberti,Kali kerberti,Kali kerberti,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Kali macrodon,Kali macrodon,Kali macrodon,Kali macrodon,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Kali macrura,Kali macrura,Kali macrura,Kali macrura,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Kali parri,Kali parri,Kali parri,Kali parri Johnson & Cohen,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Katsuwonus pelamis,Gymnosarda pelamis,Katsuwonus pelamis,Katsuwonus pelamis,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,Katsuwonus pelamis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Lepidocybium flavobrunneum,Lepidocybium flavobrunneum,Lepidocybium flavobrunneum,Lepidocybium flavobrunneum,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Lepidopus altifrons,Lepidopus altifrons,Lepidopus altifrons,Lepidopus altifrons,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Lepidopus calcar,Lepidopus calcar,Lepidopus calcar,"Lepidopus calcar Parin & Mikhailin, 1982",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Lepidopus caudatus,Lepidopus caudatus,Lepidopus caudatus,Lepidopus caudatus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Lepidopus dubius,Lepidopus dubius,Lepidopus dubius,Lepidopus dubius Parin & Mikhailin,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Lepidopus fitchi,Lepidopus fitchi,Lepidopus fitchi,Lepidopus fitchi,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Lepidopus manis,NA,Lepidopus manis,Lepidopus manis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Lepturacanthus pantului,Lepturacanthus pantului,Lepturacanthus pantului,"Lepturacanthus pantului (Gupta, 1966)",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Lepturacanthus roelandti,NA,Lepturacanthus roelandti,Lepturacanthus roelandti,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Lepturacanthus savala,Lepturacanthus savala,Lepturacanthus savala,Lepturacanthus savala,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Dysalotus pouliulii,NA,NA,Dysalotus pouliulii,NA,NA,NA,S,,NA,FALSE,NA,FALSE
Epinnula pacifica,NA,NA,Epinnula pacifica Ho & Motomura & Hata & Jiang 2017,NA,NA,NA,S,,NA,FALSE,NA,FALSE
Pampus candidus,NA,NA,NA,NA,NA,NA,S,,NA,FALSE,NA,FALSE
Pampus nozawae,NA,NA,Pampus nozawae,NA,NA,NA,S,,NA,FALSE,NA,FALSE
Nealotus tripes,Nealotus tripes,Nealotus tripes,Nealotus tripes,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Neocaristius heemstrai,Neocaristius heemstrai,Neocaristius heemstrai,Neocaristius heemstrai,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Neoepinnula americana,Neoepinnula americana,Neoepinnula americana,Neoepinnula americana,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Neoepinnula orientalis,Neoepinnula orientalis,Neoepinnula orientalis,Neoepinnula orientalis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Nesiarchus nasutus,Nesiarchus nasutus,Nesiarchus nasutus,Nesiarchus nasutus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Nomeus gronovii,Nomeus gronovii,Nomeus gronovii,Nomeus gronovii,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Orcynopsis unicolor,Orcynopsis unicolor,Orcynopsis unicolor,Orcynopsis unicolor,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Pampus argenteus,Pampus argenteus,Pampus argenteus,Pampus argenteus,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Pampus chinensis,Pampus chinensis,Pampus chinensis,Pampus chinensis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pampus cinereus,Pampus argenteus,Pampus cinereus,Pampus cinereus,NA,NA,NA,S,,NA,FALSE,NA,FALSE
Pampus argenteus,Pampus echinogaster,Pampus echinogaster,Pampus argenteus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pampus minor,NA,Pampus minor,Pampus minor,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pampus punctatissimus,Pampus punctatissimus,Pampus punctatissimus,Pampus punctatissimus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Paracaristius aquilus,NA,Paracaristius aquilus,Paracaristius aquilus,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Paracaristius maderensis,Paracaristius maderensis,Paracaristius maderensis,Paracaristius maderensis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Paracaristius maderensis,NA,Paracaristius nemorosus,Paracaristius maderensis,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Paracaristius nudarcus,Paracaristius nudarcus,Paracaristius nudarcus,Paracaristius nudarcus,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Paradiplospinus antarcticus,Paradiplospinus antarcticus,Paradiplospinus antarcticus,Paradiplospinus antarcticus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Paradiplospinus gracilis,NA,Paradiplospinus gracilis,Paradiplospinus gracilis,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Peprilus burti,Peprilus burti,Peprilus burti,Peprilus burti,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Peprilus crenulatus,NA,Peprilus crenulatus,Peprilus crenulatus,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Peprilus medius,Peprilus medius,Peprilus medius,Peprilus medius,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Peprilus ovatus,Peprilus ovatus,Peprilus ovatus,Peprilus ovatus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Peprilus paru,Peprilus paru,Peprilus paru,Peprilus paru,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Peprilus simillimus,Peprilus simillimus,Peprilus simillimus,Peprilus simillimus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Peprilus snyderi,Peprilus snyderi,Peprilus snyderi,Peprilus snyderi,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Peprilus triacanthus,Peprilus triacanthus,Peprilus triacanthus,Peprilus triacanthus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Peprilus xanthurus,NA,Peprilus xanthurus,Peprilus xanthurus,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Platyberyx andriashevi,Platyberyx andriashevi,Platyberyx andriashevi,Platyberyx andriashevi,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Platyberyx mauli,NA,Platyberyx mauli,"Platyberyx mauli Kukuev, Parin & Trunov, 2012",NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Platyberyx opalescens,Platyberyx opalescens,Platyberyx opalescens,Platyberyx opalescens,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Platyberyx paucus,NA,Platyberyx paucus,"Platyberyx paucus Stevenson & Kenaley, 2013",NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Platyberyx pietschi,NA,Platyberyx pietschi,Platyberyx pietschi,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
